name,time,application,num_replicas,batch_size
cifar10-0,22.0,cifar10,6,2048
cifar10-1,101.0,cifar10,4,2048
cifar10-2,207.0,cifar10,12,4096
cifar10-3,345.0,cifar10,10,4096
cifar10-4,378.0,cifar10,8,4096
cifar10-5,379.0,cifar10,6,2048
cifar10-6,401.0,cifar10,4,2048
cifar10-7,528.0,cifar10,12,4096
cifar10-8,723.0,cifar10,12,4096
cifar10-9,835.0,cifar10,6,2048
cifar10-10,836.0,cifar10,8,4096
cifar10-11,893.0,cifar10,6,2048
cifar10-12,1065.0,cifar10,12,4096
deepspeech2-13,1091.0,deepspeech2,4,160
cifar10-14,1136.0,cifar10,12,4096
cifar10-15,1174.0,cifar10,4,2048
cifar10-16,1225.0,cifar10,4,2048
cifar10-17,1376.0,cifar10,4,2048
cifar10-18,1387.0,cifar10,12,4096
cifar10-19,1413.0,cifar10,8,4096
deepspeech2-20,1468.0,deepspeech2,4,160
deepspeech2-21,1509.0,deepspeech2,4,160
yolov3-22,1547.0,yolov3,10,512
deepspeech2-23,1747.0,deepspeech2,4,160
cifar10-24,1793.0,cifar10,12,4096
cifar10-25,1880.0,cifar10,6,2048
cifar10-26,1894.0,cifar10,6,2048
cifar10-27,1983.0,cifar10,10,4096
cifar10-28,2106.0,cifar10,6,2048
cifar10-29,2121.0,cifar10,4,2048
cifar10-30,2126.0,cifar10,4,2048
bert-31,2152.0,bert,12,384
cifar10-32,2257.0,cifar10,10,4096
cifar10-33,2371.0,cifar10,12,4096
cifar10-34,2454.0,cifar10,12,4096
cifar10-35,2501.0,cifar10,4,2048
cifar10-36,2793.0,cifar10,4,2048
cifar10-37,2810.0,cifar10,10,4096
deepspeech2-38,2873.0,deepspeech2,4,160
cifar10-39,2892.0,cifar10,6,2048
cifar10-40,2912.0,cifar10,12,4096
cifar10-41,2914.0,cifar10,4,2048
bert-42,2939.0,bert,14,384
deepspeech2-43,2939.0,deepspeech2,8,320
cifar10-44,3102.0,cifar10,6,2048
cifar10-45,3125.0,cifar10,10,4096
cifar10-46,3362.0,cifar10,6,2048
cifar10-47,3535.0,cifar10,8,4096
cifar10-48,3594.0,cifar10,8,4096
deepspeech2-49,3598.0,deepspeech2,4,160
bert-50,3666.0,bert,10,384
cifar10-51,3685.0,cifar10,6,2048
imagenet-52,4306.0,imagenet,14,3200
bert-53,4397.0,bert,14,384
cifar10-54,4465.0,cifar10,4,2048
cifar10-55,4607.0,cifar10,12,4096
cifar10-56,4611.0,cifar10,4,2048
cifar10-57,4783.0,cifar10,6,2048
cifar10-58,4788.0,cifar10,4,2048
cifar10-59,4801.0,cifar10,4,2048
cifar10-60,4862.0,cifar10,10,4096
cifar10-61,4921.0,cifar10,10,4096
bert-62,4931.0,bert,10,384
cifar10-63,4935.0,cifar10,12,4096
bert-64,5004.0,bert,10,384
bert-65,5017.0,bert,12,384
cifar10-66,5097.0,cifar10,10,4096
bert-67,5291.0,bert,14,384
cifar10-68,5379.0,cifar10,4,2048
cifar10-69,5483.0,cifar10,6,2048
cifar10-70,5483.0,cifar10,8,4096
bert-71,5518.0,bert,10,384
cifar10-72,5618.0,cifar10,4,2048
yolov3-73,5717.0,yolov3,10,512
cifar10-74,5896.0,cifar10,10,4096
cifar10-75,6064.0,cifar10,6,2048
cifar10-76,6479.0,cifar10,10,4096
bert-77,6530.0,bert,14,384
cifar10-78,6566.0,cifar10,8,4096
cifar10-79,6748.0,cifar10,4,2048
cifar10-80,6773.0,cifar10,6,2048
cifar10-81,6773.0,cifar10,8,4096
cifar10-82,6849.0,cifar10,8,4096
cifar10-83,6927.0,cifar10,4,2048
cifar10-84,6984.0,cifar10,10,4096
cifar10-85,7088.0,cifar10,4,2048
cifar10-86,7089.0,cifar10,10,4096
cifar10-87,7113.0,cifar10,6,2048
cifar10-88,7113.0,cifar10,12,4096
cifar10-89,7191.0,cifar10,4,2048
yolov3-90,7232.0,yolov3,12,256
cifar10-91,7233.0,cifar10,8,4096
imagenet-92,7251.0,imagenet,14,3200
deepspeech2-93,7263.0,deepspeech2,8,320
cifar10-94,7289.0,cifar10,8,4096
cifar10-95,7293.0,cifar10,6,2048
cifar10-96,7465.0,cifar10,12,4096
cifar10-97,7468.0,cifar10,4,2048
deepspeech2-98,7483.0,deepspeech2,4,160
bert-99,7491.0,bert,14,384
cifar10-100,7505.0,cifar10,8,4096
cifar10-101,7539.0,cifar10,6,2048
cifar10-102,7549.0,cifar10,8,4096
cifar10-103,7753.0,cifar10,4,2048
cifar10-104,7929.0,cifar10,8,4096
cifar10-105,7929.0,cifar10,8,4096
cifar10-106,8063.0,cifar10,4,2048
cifar10-107,8125.0,cifar10,4,2048
cifar10-108,8147.0,cifar10,8,4096
deepspeech2-109,8154.0,deepspeech2,2,80
cifar10-110,8210.0,cifar10,6,2048
bert-111,8247.0,bert,12,384
yolov3-112,8357.0,yolov3,10,512
cifar10-113,8639.0,cifar10,4,2048
cifar10-114,8704.0,cifar10,6,2048
yolov3-115,8729.0,yolov3,12,256
deepspeech2-116,8855.0,deepspeech2,4,160
cifar10-117,9049.0,cifar10,4,2048
cifar10-118,9056.0,cifar10,4,2048
cifar10-119,9130.0,cifar10,10,4096
cifar10-120,9258.0,cifar10,8,4096
cifar10-121,9288.0,cifar10,6,2048
cifar10-122,9318.0,cifar10,10,4096
cifar10-123,9349.0,cifar10,4,2048
cifar10-124,9402.0,cifar10,12,4096
cifar10-125,9440.0,cifar10,6,2048
cifar10-126,9509.0,cifar10,12,4096
cifar10-127,9579.0,cifar10,12,4096
deepspeech2-128,9581.0,deepspeech2,4,160
cifar10-129,9615.0,cifar10,8,4096
yolov3-130,9652.0,yolov3,10,512
cifar10-131,9782.0,cifar10,4,2048
cifar10-132,9783.0,cifar10,4,2048
cifar10-133,9783.0,cifar10,6,2048
cifar10-134,9799.0,cifar10,12,4096
deepspeech2-135,9800.0,deepspeech2,4,160
cifar10-136,9934.0,cifar10,4,2048
imagenet-137,9968.0,imagenet,12,3200
cifar10-138,9994.0,cifar10,4,2048
cifar10-139,10060.0,cifar10,4,2048
cifar10-140,10116.0,cifar10,4,2048
deepspeech2-141,10166.0,deepspeech2,8,320
cifar10-142,10168.0,cifar10,4,2048
cifar10-143,10172.0,cifar10,10,4096
cifar10-144,10180.0,cifar10,6,2048
cifar10-145,10185.0,cifar10,4,2048
cifar10-146,10193.0,cifar10,10,4096
cifar10-147,10243.0,cifar10,4,2048
cifar10-148,10258.0,cifar10,10,4096
cifar10-149,10268.0,cifar10,4,2048
cifar10-150,10271.0,cifar10,4,2048
cifar10-151,10318.0,cifar10,10,4096
cifar10-152,10362.0,cifar10,6,2048
yolov3-153,10594.0,yolov3,12,256
cifar10-154,10643.0,cifar10,8,4096
yolov3-155,10649.0,yolov3,10,512
cifar10-156,10654.0,cifar10,10,4096
cifar10-157,10655.0,cifar10,10,4096
yolov3-158,10658.0,yolov3,14,512
cifar10-159,10661.0,cifar10,10,4096
cifar10-160,10672.0,cifar10,6,2048
deepspeech2-161,10673.0,deepspeech2,6,320
cifar10-162,10722.0,cifar10,4,2048
cifar10-163,10732.0,cifar10,12,4096
cifar10-164,10738.0,cifar10,12,4096
cifar10-165,10748.0,cifar10,8,4096
yolov3-166,10755.0,yolov3,10,512
cifar10-167,10764.0,cifar10,12,4096
cifar10-168,10794.0,cifar10,12,4096
cifar10-169,10806.0,cifar10,4,2048
cifar10-170,10852.0,cifar10,12,4096
cifar10-171,10862.0,cifar10,12,4096
cifar10-172,10865.0,cifar10,4,2048
deepspeech2-173,10880.0,deepspeech2,6,320
cifar10-174,10904.0,cifar10,8,4096
cifar10-175,10979.0,cifar10,12,4096
cifar10-176,11003.0,cifar10,10,4096
cifar10-177,11119.0,cifar10,10,4096
cifar10-178,11146.0,cifar10,10,4096
cifar10-179,11171.0,cifar10,4,2048
cifar10-180,11211.0,cifar10,8,4096
cifar10-181,11241.0,cifar10,4,2048
bert-182,11288.0,bert,10,384
cifar10-183,11292.0,cifar10,10,4096
bert-184,11298.0,bert,14,384
cifar10-185,11319.0,cifar10,12,4096
cifar10-186,11419.0,cifar10,10,4096
cifar10-187,11433.0,cifar10,12,4096
cifar10-188,11494.0,cifar10,6,2048
cifar10-189,11511.0,cifar10,6,2048
cifar10-190,11525.0,cifar10,4,2048
cifar10-191,11546.0,cifar10,10,4096
cifar10-192,11602.0,cifar10,8,4096
cifar10-193,11670.0,cifar10,6,2048
cifar10-194,11713.0,cifar10,4,2048
cifar10-195,11740.0,cifar10,4,2048
cifar10-196,11779.0,cifar10,4,2048
cifar10-197,11783.0,cifar10,10,4096
