name,time,application,num_replicas,batch_size
cifar10-0,207.0,cifar10,4,2048
cifar10-1,345.0,cifar10,10,4096
cifar10-2,378.0,cifar10,4,2048
cifar10-3,379.0,cifar10,10,4096
cifar10-4,401.0,cifar10,10,4096
cifar10-5,723.0,cifar10,8,4096
cifar10-6,835.0,cifar10,12,4096
cifar10-7,1077.0,cifar10,8,4096
deepspeech2-8,1091.0,deepspeech2,4,160
cifar10-9,1136.0,cifar10,12,4096
cifar10-10,1225.0,cifar10,8,4096
cifar10-11,1413.0,cifar10,6,2048
deepspeech2-12,1468.0,deepspeech2,4,160
cifar10-13,1659.0,cifar10,10,4096
deepspeech2-14,1747.0,deepspeech2,4,160
cifar10-15,1793.0,cifar10,6,2048
cifar10-16,1894.0,cifar10,6,2048
cifar10-17,1983.0,cifar10,10,4096
cifar10-18,2106.0,cifar10,8,4096
cifar10-19,2121.0,cifar10,6,2048
cifar10-20,2126.0,cifar10,8,4096
cifar10-21,2257.0,cifar10,4,2048
cifar10-22,2501.0,cifar10,4,2048
cifar10-23,2892.0,cifar10,6,2048
cifar10-24,2912.0,cifar10,8,4096
cifar10-25,2914.0,cifar10,8,4096
deepspeech2-26,2939.0,deepspeech2,6,320
cifar10-27,3102.0,cifar10,6,2048
cifar10-28,3460.0,cifar10,4,2048
cifar10-29,3535.0,cifar10,6,2048
deepspeech2-30,3598.0,deepspeech2,8,320
cifar10-31,3775.0,cifar10,4,2048
deepspeech2-32,4397.0,deepspeech2,8,320
cifar10-33,4607.0,cifar10,8,4096
cifar10-34,4788.0,cifar10,8,4096
cifar10-35,4801.0,cifar10,8,4096
cifar10-36,4921.0,cifar10,4,2048
bert-37,4931.0,bert,14,384
cifar10-38,4935.0,cifar10,8,4096
deepspeech2-39,5004.0,deepspeech2,8,320
deepspeech2-40,5017.0,deepspeech2,8,320
cifar10-41,5097.0,cifar10,10,4096
deepspeech2-42,5291.0,deepspeech2,8,320
cifar10-43,5483.0,cifar10,4,2048
cifar10-44,5483.0,cifar10,10,4096
bert-45,5518.0,bert,10,384
yolov3-46,5717.0,yolov3,10,512
cifar10-47,6479.0,cifar10,4,2048
cifar10-48,6566.0,cifar10,10,4096
cifar10-49,6773.0,cifar10,8,4096
cifar10-50,6849.0,cifar10,4,2048
cifar10-51,6927.0,cifar10,6,2048
cifar10-52,6984.0,cifar10,12,4096
cifar10-53,7088.0,cifar10,8,4096
cifar10-54,7089.0,cifar10,8,4096
yolov3-55,7232.0,yolov3,10,512
cifar10-56,7233.0,cifar10,8,4096
imagenet-57,7251.0,imagenet,14,3200
cifar10-58,7505.0,cifar10,10,4096
cifar10-59,7539.0,cifar10,8,4096
cifar10-60,7549.0,cifar10,6,2048
cifar10-61,7775.0,cifar10,12,4096
cifar10-62,7929.0,cifar10,8,4096
cifar10-63,7929.0,cifar10,10,4096
cifar10-64,8063.0,cifar10,6,2048
cifar10-65,8145.0,cifar10,6,2048
bert-66,8154.0,bert,10,384
cifar10-67,8210.0,cifar10,12,4096
deepspeech2-68,8247.0,deepspeech2,2,80
bert-69,8250.0,bert,12,384
yolov3-70,8357.0,yolov3,10,512
yolov3-71,8729.0,yolov3,12,256
yolov3-72,8871.0,yolov3,12,256
cifar10-73,9056.0,cifar10,6,2048
cifar10-74,9130.0,cifar10,6,2048
cifar10-75,9258.0,cifar10,12,4096
cifar10-76,9349.0,cifar10,8,4096
