name,time,application,num_replicas,batch_size
cifar10-0,131,cifar10,8,2048
cifar10-1,132,cifar10,6,2048
cifar10-2,397,cifar10,12,4096
cifar10-3,505,cifar10,16,4096
cifar10-4,642,cifar10,8,2048
bert-5,812,bert,6,384
cifar10-6,848,cifar10,12,4096
cifar10-7,916,cifar10,8,2048
cifar10-8,1397,cifar10,16,4096
cifar10-9,1606,cifar10,8,2048
cifar10-10,1728,cifar10,6,2048
cifar10-11,1908,cifar10,16,4096
bert-12,2126,bert,12,384
cifar10-13,2285,cifar10,16,4096
cifar10-14,2440,cifar10,16,4096
cifar10-15,2712,cifar10,6,2048
deepspeech2-16,2931,deepspeech2,6,320
cifar10-17,3659,cifar10,8,2048
cifar10-18,3714,cifar10,16,4096
cifar10-19,3788,cifar10,8,2048
yolov3-20,4001,yolov3,4,64
cifar10-21,4081,cifar10,16,4096
cifar10-22,4316,cifar10,16,4096
cifar10-23,4317,cifar10,6,2048
cifar10-24,4353,cifar10,6,2048
imagenet-25,5021,imagenet,10,1600
cifar10-26,5207,cifar10,8,2048
cifar10-27,5495,cifar10,8,2048
cifar10-28,5627,cifar10,12,4096
cifar10-29,6014,cifar10,6,2048
yolov3-30,6114,yolov3,4,64
cifar10-31,6131,cifar10,6,2048
cifar10-32,6842,cifar10,16,4096
cifar10-33,6963,cifar10,16,4096
bert-34,7153,bert,16,384
cifar10-35,7392,cifar10,16,4096
yolov3-36,7516,yolov3,4,64
cifar10-37,7899,cifar10,8,2048
cifar10-38,7933,cifar10,6,2048
cifar10-39,8387,cifar10,12,4096
cifar10-40,8537,cifar10,8,2048
cifar10-41,8617,cifar10,8,2048
cifar10-42,9037,cifar10,8,2048
cifar10-43,9727,cifar10,6,2048
cifar10-44,10529,cifar10,16,4096
cifar10-45,10550,cifar10,6,2048
cifar10-46,10599,cifar10,8,2048
cifar10-47,11332,cifar10,8,2048
bert-48,11449,bert,16,384
cifar10-49,11695,cifar10,16,4096
cifar10-50,12185,cifar10,12,4096
cifar10-51,12239,cifar10,12,4096
cifar10-52,12718,cifar10,12,4096
cifar10-53,12942,cifar10,8,2048
cifar10-54,12991,cifar10,12,4096
cifar10-55,13332,cifar10,8,2048
cifar10-56,13486,cifar10,6,2048
bert-57,13740,bert,8,384
cifar10-58,13807,cifar10,6,2048
imagenet-59,13924,imagenet,14,3200
deepspeech2-60,14199,deepspeech2,6,320
cifar10-61,14242,cifar10,16,4096
cifar10-62,14572,cifar10,12,4096
cifar10-63,14973,cifar10,16,4096
cifar10-64,14978,cifar10,6,2048
cifar10-65,15051,cifar10,8,2048
cifar10-66,15226,cifar10,16,4096
cifar10-67,15357,cifar10,16,4096
yolov3-68,15814,yolov3,4,64
cifar10-69,15841,cifar10,6,2048
bert-70,15876,bert,16,384
cifar10-71,16151,cifar10,12,4096
deepspeech2-72,16303,deepspeech2,12,640
cifar10-73,16411,cifar10,6,2048
yolov3-74,16852,yolov3,4,64
cifar10-75,16932,cifar10,12,4096
cifar10-76,17035,cifar10,8,2048
cifar10-77,17069,cifar10,16,4096
bert-78,17174,bert,16,384
cifar10-79,17263,cifar10,6,2048
cifar10-80,17452,cifar10,6,2048
cifar10-81,17515,cifar10,8,2048
cifar10-82,17517,cifar10,8,2048
cifar10-83,17587,cifar10,6,2048
cifar10-84,17626,cifar10,8,2048
cifar10-85,17677,cifar10,6,2048
cifar10-86,17830,cifar10,12,4096
imagenet-87,17991,imagenet,10,1600
cifar10-88,18132,cifar10,6,2048
cifar10-89,18159,cifar10,6,2048
cifar10-90,18238,cifar10,12,4096
cifar10-91,18288,cifar10,16,4096
yolov3-92,18343,yolov3,4,64
cifar10-93,18607,cifar10,6,2048
cifar10-94,18634,cifar10,8,2048
cifar10-95,18852,cifar10,12,4096
cifar10-96,18912,cifar10,12,4096
cifar10-97,18914,cifar10,6,2048
cifar10-98,18935,cifar10,6,2048
cifar10-99,18983,cifar10,12,4096
deepspeech2-100,19063,deepspeech2,12,640
bert-101,19067,bert,16,384
bert-102,19212,bert,8,384
cifar10-103,19221,cifar10,12,4096
cifar10-104,19312,cifar10,8,2048
cifar10-105,19332,cifar10,16,4096
cifar10-106,19414,cifar10,12,4096
yolov3-107,19467,yolov3,4,64
cifar10-108,19571,cifar10,12,4096
cifar10-109,19697,cifar10,8,2048
cifar10-110,19775,cifar10,8,2048
cifar10-111,19999,cifar10,16,4096
cifar10-112,20163,cifar10,8,2048
cifar10-113,20428,cifar10,8,2048
cifar10-114,20466,cifar10,16,4096
cifar10-115,20519,cifar10,8,2048
cifar10-116,20519,cifar10,12,4096
cifar10-117,20535,cifar10,12,4096
cifar10-118,20546,cifar10,8,2048
cifar10-119,20766,cifar10,12,4096
cifar10-120,20919,cifar10,8,2048
deepspeech2-121,20926,deepspeech2,6,320
cifar10-122,21131,cifar10,12,4096
