name,time,application,num_replicas,batch_size
cifar10-0,32.661786,cifar10,6,2048
bert-1,642.66185,bert,16,384
deepspeech2-2,1102.66193,deepspeech2,6,320
cifar10-3,1340.661949,cifar10,6,2048
cifar10-4,1446.661997,cifar10,12,4096
deepspeech2-5,1446.662,deepspeech2,12,640
cifar10-6,1457.662037,cifar10,4,2048
cifar10-7,1458.662041,cifar10,8,4096
cifar10-8,1461.662053,cifar10,4,2048
cifar10-9,1470.662083,cifar10,6,2048
cifar10-10,1483.662121,cifar10,10,4096
cifar10-11,1493.662153,cifar10,8,2048
deepspeech2-12,1539.662188,deepspeech2,6,320
bert-13,1697.662213,bert,16,384
cifar10-14,1867.662258,cifar10,10,4096
bert-15,1883.662261,bert,6,384
deepspeech2-16,2153.662303,deepspeech2,6,320
cifar10-17,2455.662327,cifar10,16,4096
cifar10-18,2535.662338,cifar10,10,4096
yolov3-19,3057.662402,yolov3,4,64
bert-20,3701.662499,bert,16,384
deepspeech2-21,4148.662583,deepspeech2,12,640
cifar10-22,4267.662617,cifar10,6,2048
deepspeech2-23,4278.662619,deepspeech2,8,320
cifar10-24,4440.662639,cifar10,10,4096
cifar10-25,4601.662656,cifar10,16,4096
cifar10-26,4728.662676,cifar10,16,4096
cifar10-27,5173.662743,cifar10,8,2048
cifar10-28,5310.662816,cifar10,16,4096
cifar10-29,5365.662844,cifar10,6,2048
cifar10-30,5721.662924,cifar10,12,4096
cifar10-31,5791.662933,cifar10,6,2048
cifar10-32,6125.662972,cifar10,6,2048
bert-33,6378.66302,bert,6,384
bert-34,7193.663139,bert,16,384
bert-35,7232.663148,bert,6,384
cifar10-36,7287.663161,cifar10,4,2048
bert-37,7538.663203,bert,8,384
bert-38,8069.663331,bert,6,384
deepspeech2-39,8082.663363,deepspeech2,6,320
deepspeech2-40,8104.663373,deepspeech2,6,320
cifar10-41,8212.663391,cifar10,16,4096
bert-42,8408.663424,bert,12,384
cifar10-43,8685.663481,cifar10,16,4096
cifar10-44,8689.663485,cifar10,6,2048
cifar10-45,8719.663494,cifar10,10,4096
bert-46,8821.663509,bert,16,384
cifar10-47,9240.663561,cifar10,8,2048
cifar10-48,9434.663597,cifar10,16,4096
yolov3-49,9640.663631,yolov3,4,64
cifar10-50,9768.663651,cifar10,4,2048
bert-51,9930.663681,bert,8,384
cifar10-52,10444.66378,cifar10,8,2048
cifar10-53,10449.663781,cifar10,8,2048
imagenet-54,10977.663837,imagenet,12,3200
deepspeech2-55,11080.663854,deepspeech2,8,320
bert-56,11129.663882,bert,6,384
bert-57,11133.663886,bert,6,384
deepspeech2-58,11163.663899,deepspeech2,6,320
bert-59,11199.663918,bert,6,384
cifar10-60,11247.663929,cifar10,8,2048
bert-61,11539.663989,bert,16,384
bert-62,11577.664013,bert,12,384
cifar10-63,11760.664047,cifar10,16,4096
deepspeech2-64,11830.664055,deepspeech2,8,320
bert-65,12384.664094,bert,16,384
deepspeech2-66,12916.664157,deepspeech2,8,320
cifar10-67,13180.664188,cifar10,10,4096
bert-68,13206.664195,bert,8,384
deepspeech2-69,13339.664211,deepspeech2,6,320
cifar10-70,13424.664221,cifar10,12,4096
cifar10-71,13613.664249,cifar10,6,2048
cifar10-72,13899.664287,cifar10,16,4096
deepspeech2-73,14108.66432,deepspeech2,12,640
bert-74,14185.664333,bert,12,384
deepspeech2-75,14437.664391,deepspeech2,6,320
deepspeech2-76,14745.664453,deepspeech2,6,320
bert-77,14994.664494,bert,8,384
cifar10-78,15613.664573,cifar10,12,4096
cifar10-79,15730.664594,cifar10,4,2048
cifar10-80,15826.664614,cifar10,10,4096
bert-81,16681.664784,bert,8,384
