name,time,application,num_replicas,batch_size
bert-0,163.661794,bert,6,384
cifar10-1,314.661811,cifar10,6,2048
bert-2,328.661815,bert,12,384
cifar10-3,752.66187,cifar10,8,2048
deepspeech2-4,1205.66194,deepspeech2,8,320
cifar10-5,1433.661963,cifar10,8,2048
cifar10-6,1444.661991,cifar10,12,4096
cifar10-7,1451.662014,cifar10,6,2048
cifar10-8,1459.662044,cifar10,12,4096
cifar10-9,1468.662073,cifar10,8,2048
cifar10-10,1486.662129,cifar10,4,2048
deepspeech2-11,1498.66216,deepspeech2,6,320
bert-12,1757.662237,bert,16,384
bert-13,1777.662245,bert,6,384
cifar10-14,2321.662318,cifar10,8,4096
cifar10-15,2723.662364,cifar10,6,2048
deepspeech2-16,2829.662376,deepspeech2,6,320
cifar10-17,3063.662404,cifar10,16,4096
cifar10-18,3194.662443,cifar10,6,2048
deepspeech2-19,3489.662474,deepspeech2,12,640
cifar10-20,3541.662481,cifar10,4,2048
cifar10-21,3787.662515,cifar10,10,4096
deepspeech2-22,3995.662554,deepspeech2,8,320
cifar10-23,4051.662559,cifar10,10,4096
cifar10-24,4414.662633,cifar10,10,4096
cifar10-25,4440.662639,cifar10,10,4096
bert-26,4664.662668,bert,16,384
cifar10-27,5190.662758,cifar10,6,2048
bert-28,5230.662773,bert,16,384
deepspeech2-29,5355.662838,deepspeech2,8,320
cifar10-30,5410.66286,cifar10,16,4096
bert-31,5457.662881,bert,12,384
deepspeech2-32,5485.662889,deepspeech2,6,320
cifar10-33,5793.662934,cifar10,16,4096
cifar10-34,5838.662937,cifar10,4,2048
cifar10-35,6026.662955,cifar10,16,4096
cifar10-36,6137.662984,cifar10,8,2048
bert-37,6287.663012,bert,16,384
cifar10-38,6521.663039,cifar10,10,4096
cifar10-39,6569.663046,cifar10,4,2048
cifar10-40,6770.66308,cifar10,16,4096
bert-41,7315.663166,bert,8,384
yolov3-42,7351.663175,yolov3,4,64
cifar10-43,7575.663209,cifar10,16,4096
cifar10-44,8048.663298,cifar10,10,4096
cifar10-45,8212.663392,cifar10,10,4096
cifar10-46,9426.663586,cifar10,12,4096
yolov3-47,9640.66363,yolov3,4,64
deepspeech2-48,9905.66367,deepspeech2,6,320
cifar10-49,10007.663689,cifar10,4,2048
cifar10-50,10275.663727,cifar10,10,4096
cifar10-51,10326.66374,cifar10,8,4096
cifar10-52,10444.66378,cifar10,6,2048
deepspeech2-53,10926.663827,deepspeech2,12,640
deepspeech2-54,11074.663844,deepspeech2,8,320
deepspeech2-55,11088.663862,deepspeech2,8,320
bert-56,11120.663869,bert,8,384
bert-57,11159.663894,bert,12,384
cifar10-58,11246.663928,cifar10,16,4096
deepspeech2-59,11524.663977,deepspeech2,8,320
cifar10-60,11537.663986,cifar10,12,4096
bert-61,11572.664004,bert,12,384
deepspeech2-62,11577.664011,deepspeech2,8,320
deepspeech2-63,12577.664104,deepspeech2,6,320
cifar10-64,12653.66412,cifar10,6,2048
cifar10-65,12916.664156,cifar10,4,2048
cifar10-66,13312.664204,cifar10,12,4096
cifar10-67,13863.664284,cifar10,16,4096
cifar10-68,13923.66429,cifar10,12,4096
cifar10-69,14186.664333,cifar10,12,4096
cifar10-70,14368.664379,cifar10,8,2048
bert-71,14536.664402,bert,12,384
bert-72,14664.664429,bert,16,384
deepspeech2-73,14950.664487,deepspeech2,8,320
bert-74,14976.664492,bert,8,384
bert-75,15474.664552,bert,8,384
bert-76,15683.664586,bert,8,384
cifar10-77,15841.664617,cifar10,6,2048
bert-78,15989.664643,bert,16,384
bert-79,16263.664694,bert,12,384
deepspeech2-80,16352.664717,deepspeech2,12,640
deepspeech2-81,16354.664718,deepspeech2,12,640
deepspeech2-82,16558.664765,deepspeech2,6,320
bert-83,16681.664784,bert,16,384
bert-84,16750.664809,bert,8,384
cifar10-85,16795.664826,cifar10,16,4096
cifar10-86,16863.664848,cifar10,6,2048
deepspeech2-87,16931.664876,deepspeech2,8,320
bert-88,16955.664885,bert,12,384
bert-89,17000.664894,bert,16,384
deepspeech2-90,17050.664898,deepspeech2,12,640
bert-91,17140.664913,bert,8,384
bert-92,17157.664919,bert,16,384
cifar10-93,17401.664967,cifar10,6,2048
bert-94,17427.664976,bert,6,384
cifar10-95,17442.664981,cifar10,8,4096
deepspeech2-96,17591.665019,deepspeech2,6,320
bert-97,17664.665035,bert,6,384
bert-98,17719.665041,bert,6,384
bert-99,17785.665063,bert,6,384
cifar10-100,18002.665094,cifar10,4,2048
deepspeech2-101,18034.665101,deepspeech2,8,320
cifar10-102,18035.665104,cifar10,16,4096
cifar10-103,18102.66512,cifar10,4,2048
bert-104,18274.665155,bert,16,384
cifar10-105,18433.665196,cifar10,8,2048
cifar10-106,18463.665258,cifar10,16,4096
deepspeech2-107,18639.665334,deepspeech2,8,320
cifar10-108,18672.665345,cifar10,4,2048
cifar10-109,18834.66538,cifar10,12,4096
cifar10-110,19932.665627,cifar10,6,2048
bert-111,19958.665634,bert,6,384
cifar10-112,19971.665655,cifar10,8,2048
cifar10-113,19971.665655,cifar10,16,4096
cifar10-114,20239.665766,cifar10,12,4096
cifar10-115,20260.665788,cifar10,4,2048
cifar10-116,20420.665825,cifar10,10,4096
