name,time,application,num_replicas,batch_size
bert-0,90.0,bert,12,384
cifar10-1,101.0,cifar10,6,2048
cifar10-2,207.0,cifar10,6,2048
cifar10-3,225.0,cifar10,12,4096
yolov3-4,393.0,yolov3,4,64
cifar10-5,528.0,cifar10,12,4096
cifar10-6,723.0,cifar10,6,2048
cifar10-7,836.0,cifar10,12,4096
cifar10-8,1077.0,cifar10,8,2048
cifar10-9,1225.0,cifar10,12,4096
cifar10-10,1894.0,cifar10,4,2048
cifar10-11,2106.0,cifar10,8,4096
cifar10-12,2501.0,cifar10,6,2048
cifar10-13,2793.0,cifar10,4,2048
cifar10-14,2892.0,cifar10,16,4096
bert-15,2939.0,bert,8,384
cifar10-16,3102.0,cifar10,10,4096
cifar10-17,3535.0,cifar10,12,4096
cifar10-18,3594.0,cifar10,8,2048
deepspeech2-19,3598.0,deepspeech2,6,320
cifar10-20,3775.0,cifar10,16,4096
imagenet-21,4306.0,imagenet,12,3200
cifar10-22,4607.0,cifar10,10,4096
cifar10-23,4788.0,cifar10,10,4096
cifar10-24,4801.0,cifar10,8,2048
cifar10-25,4921.0,cifar10,8,2048
deepspeech2-26,5291.0,deepspeech2,8,320
cifar10-27,5483.0,cifar10,6,2048
cifar10-28,5618.0,cifar10,8,2048
cifar10-29,5896.0,cifar10,16,4096
cifar10-30,6773.0,cifar10,6,2048
cifar10-31,7089.0,cifar10,6,2048
cifar10-32,7113.0,cifar10,6,2048
yolov3-33,7232.0,yolov3,4,64
deepspeech2-34,7263.0,deepspeech2,8,320
cifar10-35,7293.0,cifar10,8,2048
cifar10-36,7753.0,cifar10,8,2048
cifar10-37,7775.0,cifar10,8,2048
yolov3-38,7921.0,yolov3,4,64
cifar10-39,7929.0,cifar10,4,2048
deepspeech2-40,8250.0,deepspeech2,8,320
yolov3-41,8357.0,yolov3,4,64
cifar10-42,8639.0,cifar10,16,4096
yolov3-43,8729.0,yolov3,4,64
deepspeech2-44,8855.0,deepspeech2,12,640
yolov3-45,8871.0,yolov3,4,64
deepspeech2-46,9041.0,deepspeech2,8,320
cifar10-47,9258.0,cifar10,6,2048
cifar10-48,9349.0,cifar10,16,4096
deepspeech2-49,9581.0,deepspeech2,8,320
yolov3-50,9652.0,yolov3,4,64
deepspeech2-51,9800.0,deepspeech2,6,320
cifar10-52,9934.0,cifar10,10,4096
cifar10-53,9994.0,cifar10,4,2048
cifar10-54,10060.0,cifar10,12,4096
cifar10-55,10116.0,cifar10,16,4096
cifar10-56,10130.0,cifar10,10,4096
cifar10-57,10168.0,cifar10,10,4096
cifar10-58,10172.0,cifar10,6,2048
cifar10-59,10185.0,cifar10,12,4096
cifar10-60,10268.0,cifar10,4,2048
cifar10-61,10271.0,cifar10,10,4096
cifar10-62,10643.0,cifar10,8,4096
cifar10-63,10661.0,cifar10,6,2048
deepspeech2-64,10678.0,deepspeech2,6,320
cifar10-65,10728.0,cifar10,12,4096
cifar10-66,10732.0,cifar10,6,2048
cifar10-67,10764.0,cifar10,4,2048
cifar10-68,10979.0,cifar10,6,2048
cifar10-69,11045.0,cifar10,8,4096
cifar10-70,11241.0,cifar10,6,2048
deepspeech2-71,11298.0,deepspeech2,8,320
cifar10-72,11341.0,cifar10,4,2048
cifar10-73,11433.0,cifar10,8,2048
cifar10-74,11511.0,cifar10,6,2048
cifar10-75,11525.0,cifar10,4,2048
cifar10-76,11546.0,cifar10,4,2048
cifar10-77,11713.0,cifar10,6,2048
cifar10-78,11779.0,cifar10,16,4096
cifar10-79,11783.0,cifar10,12,4096
cifar10-80,11803.0,cifar10,6,2048
cifar10-81,11957.0,cifar10,4,2048
cifar10-82,11962.0,cifar10,10,4096
cifar10-83,12041.0,cifar10,6,2048
cifar10-84,12084.0,cifar10,6,2048
cifar10-85,12314.0,cifar10,10,4096
cifar10-86,12342.0,cifar10,4,2048
imagenet-87,12698.0,imagenet,14,3200
cifar10-88,12745.0,cifar10,6,2048
cifar10-89,12839.0,cifar10,12,4096
cifar10-90,12873.0,cifar10,10,4096
cifar10-91,12936.0,cifar10,6,2048
cifar10-92,12961.0,cifar10,10,4096
cifar10-93,13026.0,cifar10,6,2048
cifar10-94,13043.0,cifar10,12,4096
cifar10-95,13115.0,cifar10,6,2048
cifar10-96,13226.0,cifar10,8,4096
cifar10-97,13236.0,cifar10,12,4096
cifar10-98,13386.0,cifar10,12,4096
bert-99,13591.0,bert,8,384
cifar10-100,13654.0,cifar10,6,2048
imagenet-101,13809.0,imagenet,14,3200
cifar10-102,13895.0,cifar10,12,4096
bert-103,14121.0,bert,12,384
cifar10-104,14304.0,cifar10,6,2048
cifar10-105,14387.0,cifar10,10,4096
cifar10-106,14436.0,cifar10,8,4096
cifar10-107,14524.0,cifar10,4,2048
cifar10-108,14656.0,cifar10,6,2048
cifar10-109,14769.0,cifar10,10,4096
cifar10-110,14797.0,cifar10,12,4096
cifar10-111,14838.0,cifar10,4,2048
cifar10-112,14911.0,cifar10,6,2048
cifar10-113,14963.0,cifar10,16,4096
cifar10-114,14993.0,cifar10,8,4096
cifar10-115,15133.0,cifar10,8,2048
cifar10-116,15441.0,cifar10,4,2048
cifar10-117,16041.0,cifar10,8,4096
cifar10-118,16539.0,cifar10,12,4096
cifar10-119,16674.0,cifar10,10,4096
cifar10-120,16675.0,cifar10,6,2048
cifar10-121,16680.0,cifar10,12,4096
cifar10-122,16871.0,cifar10,16,4096
cifar10-123,17078.0,cifar10,6,2048
cifar10-124,17196.0,cifar10,8,4096
cifar10-125,17204.0,cifar10,8,4096
cifar10-126,17248.0,cifar10,16,4096
cifar10-127,17350.0,cifar10,12,4096
cifar10-128,17633.0,cifar10,8,2048
bert-129,17984.0,bert,16,384
cifar10-130,18083.0,cifar10,12,4096
cifar10-131,18435.0,cifar10,10,4096
cifar10-132,18743.0,cifar10,12,4096
